nConfigId	nId	nAnswerId	szQuestion	szChoice1	szChoice2	szChoice3	szChoice4
1	1	1	Bài hát Chiếc đèn ông sao là của nhạc sĩ nào?	Phạm Tuyên	Trịnh Công Sơn	Hoàng Lân	Lưu Hữu Phước
1	2	3	Bánh gì vui tết trẻ con. Trông trăng cắt bánh thơm ngon cả nhà?	Bánh tráng trộn	Bánh bông lan	Bánh Trung Thu	Bánh xếp
1	3	2	Cái gì 5 cánh, có nến ở trong, đêm Rằm tháng Tám, trẻ con hay cầm?	Đèn cầy	Đèn ông sao	Đèn kéo quân	Đèn lồng
1	4	3	Cái gì: "Bằng cái vung, vùng xuống ao - Đào không thấy, lấy không được"?	Mặt đất	Mặt hồ	Mặt trăng	Mặt nước
1	5	1	Cái gì: "Chẳng giao tranh cũng đội binh. Gươm trần giáo tuốt chạy quanh tứ bề. Sa trường ánh lửa lập loè. Lướt qua phương bắc lại về phương đông"?	Đèn kéo quân	Đèn ông sao	Đèn pha	Đèn bàn
1	6	3	Cái gì: "Mọi đêm quen ở trên trời, vui Trung Thu bạn rước tôi đi cùng"?	Cái bàn	Cái lá	Đèn ông sao	Cái giỏ
1	7	4	Câu sau thuộc bài hát nào: "Bóng trăng trắng ngà có cây đa to…"?	Hội Trăng Rằm	Đếm Sao	Chiếc Đèn Ông Sao	Thằng Cuội
1	8	2	Câu sau thuộc bài hát nào: "Một ông sao sáng, hai ông sáng sao"?	Hội Trăng Rằm	Đếm Sao	Chiếc Đèn Ông Sao	Thằng Cuội
1	9	3	Câu sau thuộc bài hát nào: "Rước đèn ông sao sao năm cánh tươi màu"?	Hội Trăng Rằm	Đếm Sao	Chiếc Đèn Ông Sao	Thằng Cuội
1	10	1	Câu sau thuộc bài hát nào: "Trăng Trung thu, Trăng phá cỗ, Trăng rước đèn, Trăng thi hát"?	Hội Trăng Rằm	Đếm Sao	Chiếc Đèn Ông Sao	Thằng Cuội
1	11	4	Câu thơ: "Ai mua trăng tôi bán trăng cho" là của thi sĩ nào?	Hồ Xuân Hương	Xuân Diệu	Chế Lan Viên	Hàn Mạc Tử
1	12	2	Câu thơ: "Ngẩng đầu nhìn trăng sáng, cúi đầu nhớ cố hương" là của thi sĩ Trung Quốc nào?	Đỗ Phủ	Lý Bạch	Bạch Cư Dị	Vương Bột
1	13	1	Cây gì Cuội vẫn ngồi chơi. Nghêu ngao khúc hát ời ời gọi cha?	Cây đa	Cây tre	Cây khế	Cây dừa
1	14	1	Chất liệu nào dùng thắp sáng trong đồ chơi rước đèn truyền thống của trẻ em?	Đèn cầy	Pin	Bóng đèn điện	Bột dạ quang
1	15	2	Chị gì thường được nhắc đến nhiều nhất ngày Tết Trung Thu?	Chị Ong Vàng	Chị Hằng Nga	Chị Kính Hồng	Không có đáp án đúng
1	16	2	Chị Hằng Nga có xuất thân là gì?	Thường dân	Tiên nữ	Hoàng hậu	Nô tì
1	17	2	Chuyện dân gian nào gắn liền với Tết Trung Thu?	Tấm Cám	Chú Cuội	Sọ Dừa	Thạch Sanh
1	18	3	Con vật nuôi của chị Hằng là?	Mèo	Chim	Thỏ	Gà
1	19	2	Đâu không phải là một loại bánh trung thu truyền thống? 	Bánh nướng	Bánh mì	Bánh dẻo	Bánh gạo
1	20	1	Đâu không phải là một màu sắc thường thấy trên đèn lồng Tết Trung Thu? 	Đen	Đỏ	Xanh dương	Vàng
1	21	4	Đâu là loại nhân bánh trung thu truyền thống?	Trứng muối	Đậu đỏ	Hạt sen	Tất cả đều đúng
1	22	2	Đêm Tết Trung Thu còn được gọi là đêm hội gì?	Hội Đèn Cầy	Hội Trăng Rằm	Hội Múa Lân	Hội Rước Đèn
1	23	3	Đêm Trung thu, người dân thường treo đèn ông sao để làm gì?	Trang trí nhà cửa	Xua đuổi tà ma	Cầu mong điều lành	Dẫn đường
1	24	3	Điệu múa nào thường xuất hiện trong đêm Trung Thu?	Múa nón	Múa gậy	Múa quạt	Múa kiếm
1	25	4	Điệu múa truyền thống đêm Trung Thu không xuất hiện con vật nào?	Sư	Rồng	Lân	Rắn
1	26	3	Đồ chơi nào đặc trưng nhất trong dịp Tết Trung Thu Việt Nam? 	Đèn lồng giấy xếp	Đèn cù	Đèn ông sao	Đèn kéo quân
1	27	1	Đồ chơi nào thường được có trong Tết Trung Thu?	Đèn ông sao	Xe ô tô	Búp bê	Siêu nhân
1	28	1	Hành tinh nào gắn liền với lễ hội Tết Trung Thu?	Mặt Trăng	Sao Hỏa	Sao Kim	Mặt Trời
1	29	2	Hành tinh nào trong hệ Mặt Trời có nhiều Mặt Trăng nhất?	Sao Thổ	Sao Mộc	Sao Hỏa	Sao Kim
1	30	4	Hình ảnh Ông Địa tượng trưng cho điều gì?	Ánh sáng	Sức khỏe	Hạnh phúc	Phú quý
