nConfigId	nId	szQuestion	szChoice1	szChoice2	szChoice3	szChoice4
1	1	Đèn lồng trong ngày Tết Nguyên Tiêu thường có hình dạng gì?	Hình tròn	Hình vuông	Hình tam giác	Tất cả các đáp án trên
1	2	Điền vào chỗ trống để câu đối có ý nghĩa: ... an khang đức tài như ý/Năm thịnh vượng phúc thọ vô biên	Thu	Đông	Xuân	Hạ
1	3	Điền vào chỗ trống để câu đối có ý nghĩa: ... đì đùng nhân gian mừng năm mới/Mai lấm tấm thiên hạ biết xuân sang	Giấy	Trống	Sáo	Pháo
1	4	Điền vào chỗ trống để câu đối có ý nghĩa: ... mừng năm qua đắc lộc/Nâng cốc chúc xuân mới phát tài	Nâng ly	Cạn cốc	Nâng chén	Cạn ly
1	5	Điền vào chỗ trống để câu đối có ý nghĩa: Chúc tết đến trăm điều như ý/Mừng xuân sang ... thành công	Nhiều việc	Trăm sự	Vạn sự	Vạn điều
1	6	Điền vào chỗ trống để câu đối có ý nghĩa: Cửa nhiều khách đến nhiều ... đến/Nhà có người vào lắm vật vào	Kẹo	Bánh	Tiền	Hoa
1	7	Điền vào chỗ trống để câu đối có ý nghĩa: Đất sinh tài nghiệp đời …/Trời ban lộc nhà tiếng tốt tươi	Xán lạn	Sán lạn	Sáng lạng	Xán lạng
1	8	Điền vào chỗ trống để câu đối có ý nghĩa: Đêm ... pháo nổ đùng! Ờ ờ tết/Sáng mùng một niêu đánh cộc! À à xuân	Hai tám	Hai chín	Ba mươi	Mùng một
1	9	Điền vào chỗ trống để câu đối có ý nghĩa: Giao thừa đón lộc nhớ tiên tổ/Mùng một mang thọ ... ông bà	Gửi	Biếu	Cho	Kính
1	10	Điền vào chỗ trống để câu đối có ý nghĩa: Lộc biếc … xuân hạnh phúc/Đời vui sức khỏe tết an khang	Đào tươi	Mai vàng	Phượng đỏ	Sen hồng
1	11	Điền vào chỗ trống để câu đối có ý nghĩa: Mừng xuân hỉ xả thêm công đức/Đón tết ... bớt não phiền	Tao ngộ	Từ bi	Vạn sự	Trăm việc
1	12	Điền vào chỗ trống để câu đối có ý nghĩa: Năm mới hạnh phúc bình an đến/Ngày xuân ... phú quý về	Bánh kẹo	Vinh hoa	Hoa tươi	Tiền tài
1	13	Điền vào chỗ trống để câu đối có ý nghĩa: Nắng xuân rực rỡ nhà .../Gió đông buốt lạnh người bán mua	Vui lễ	Trẩy hội	Vui vẻ	Bình an
1	14	Điền vào chỗ trống để câu đối có ý nghĩa: Ngoài cửa mừng ... nghênh ngũ phúc/Trong nhà chúc tết hưởng tam đa	Đông	Thu	Hạ	Xuân
1	15	Điền vào chỗ trống để câu đối có ý nghĩa: Nhớ tổ tiên đẹp điều .../Tin cháu con bền sự lạ hay	Nhân đức	Công đức	Công ơn	Nhân nghĩa
1	16	Điền vào chỗ trống để câu đối có ý nghĩa: Phúc đầy nhà năm thêm .../Đức ngập tràn ngày một vinh hoa	Giàu có	Sung sướng	Vinh hoa	Xinh đẹp
1	17	Điền vào chỗ trống để câu đối có ý nghĩa: Sơn thủy thanh cao xuân …./Thần tiên vui thú cảnh đời đời	Mãi mãi	Kiếp kiếp	Mỹ mãn	Hạnh phúc
1	18	Điền vào chỗ trống để câu đối có ý nghĩa: Tết đến ... ngon đưa mấy chén/Xuân về bút mới thử vài trang	Chè	Rượu	Nước	Bia
1	19	Điền vào chỗ trống để câu đối có ý nghĩa: Thịt mỡ dưa hành ... đỏ/Cây nêu tràng pháo bánh chưng xanh	Lì xì	Bánh mứt	Câu đối	Quần áo
1	20	Điền vào chỗ trống để câu đối có ý nghĩa: Tống cựu nghinh tân mừng xuân mới/Dân an … đón thanh bình	Quốc thái	Quốc an	Quốc nghiệp	Quốc cơ
1	21	Điền vào chỗ trống để câu đối có ý nghĩa: Trời thêm tuổi mới người thêm .../Xuân khắp càn khôn phúc khắp nhà	Phúc	Lộc	Thọ	Tuổi
1	22	Điền vào chỗ trống để câu đối có ý nghĩa: Xuân như cẩm tú người như .../Khách chật trong nhà rượu hết chung	Lộc	Ngọc	Nêm	Ý
1	23	Điền vào chỗ trống để câu đối có ý nghĩa: Xuân sang cội phúc sinh nhành lộc/Tết về cây ... trổ thêm hoa	Đức	Tiền	Bạc	Vàng
1	24	Điền vế sau của câu đối: "Năm mới tăng vạn lộc"	Ngày xuân góp nghìn may	Ngày xuân góp bạc vàng	Ngày tết góp bạc vàng	Ngày vui góp nghìn may
1	25	Điền vế sau của câu đối: "Năm năm xuân như ý"	Tháng tháng ngày bình an	Tháng tháng ngày vinh hoa	Tuổi tuổi ngày bình an	Tuổi tuổi ngày vinh hoa
1	26	Điền vế sau của câu đối: "Phúc dâng khắp mọi nẻo "	Hoa thơm mát cửa nhà	Lộc thơm mát cửa nhà	Phúc thơm mát cửa nhà	Lộc thơm khắp cửa nhà
1	27	Hoa mai là biểu tượng của mùa nào trong năm?	Xuân	Hạ	Thu	Đông
1	28	Hoạt động nào sau đây không diễn ra trong ngày Tết Nguyên Tiêu?	Thả đèn hoa đăng	Múa lân	Đi hái lộc	Hái hoa
1	29	Hương vị nào thường được ưa chuộng trong các món ăn ngon của mùa xuân?	Mặn	Ngọt	Cay	Chua
1	30	Lễ hội đặc trưng nào thường diễn ra vào Tết Nguyên Tiêu ở Bình Dương?	Đua Bò Bảy Núi	Nghinh Ông	Chùa Bà Thiên Hậu	Bà Chúa Xứ Núi Sam
1	31	Loại hình nghệ thuật nào phổ biến trong ngày Tết Nguyên Tiêu?	Múa lân	Múa rồng	Cải lương	Tất cả các đáp án trên
1	32	Loại quả nào thường được bày trên bàn thờ gia tiên trong ngày Tết?	Cam	Bưởi	Táo	Nho
1	33	Loại quả nào thường được cúng tổ tiên trong ngày Tết Nguyên Tiêu?	Bưởi	Cam	Táo	Nho
1	34	Màu sắc nào thường được sử dụng nhiều nhất trong trang trí đèn lồng?	Màu đỏ	Màu vàng	Màu xanh	Màu tím
1	35	Món ăn nào gắn liền với ngày Nguyên Tiêu?	Bánh chưng	Bánh trôi	Bánh mì	Bánh bao
1	36	Món ăn nào không thể thiếu trong mâm cơm ngày Tết miền Bắc?	Bánh tét	Bánh trôi nước	Bánh chưng	Bánh xèo
1	37	Mùa xuân bắt đầu từ tháng mấy trong lịch âm dương?	Tháng Giêng	Tháng Hai	Tháng Ba	Tháng Tư
1	38	Mùa xuân thường được gắn liền với hình ảnh nào?	Cành đào	Ông già Tuyết	Bánh Trung Thu	Hoa phượng
